,VAR,RMS,IEMG,MAV,LOG,WL,ACC,DASDV,ZC,WAMP,MYOP,FR,MNP,TP,MNF,MDF,PKF,WENT,file,subject,otot,footwear
0,0.005075099930556,0.07125055555339,6.419,0.053491666666667,0,4.304,0.035866666666667,0.050578502092782,22,2,0.033333333333333,12.1144044518855,0.004831263183214,0.304369580542453,86.0586785424621,88,88,2.11060276477115,01 Barefoot3 TA ka.txt,01 ONY,TA,Barefoot
1,0.003693704166667,0.060838036347886,5.572,0.046433333333333,0,2.907,0.024225,0.036724387976778,14,0,0.008333333333333,10.6168445778016,0.003530352373521,0.222412199531815,57.7369951674842,40,24,2.06030597681377,01 Barefoot3 TA ka.txt,01 ONY,TA,Barefoot
2,0.001318626388889,0.036404670030094,3.118,0.025983333333333,0,1.517,0.012641666666667,0.016864511991335,18,0,0,8.48413159550439,0.001265747539382,0.079742094981042,40.1564135337483,24,24,0.553776892871601,01 Barefoot3 TA ka.txt,01 ONY,TA,Barefoot
3,0.000575764166667,0.024334474859069,2.158,0.017983333333333,0,1.918,0.015983333333333,0.021969803570072,28,0,0,6.80408553165971,0.000577755916962,0.036398622768609,96.3806746273869,96,48,2.27114404408481,01 Barefoot3 TA ka.txt,01 ONY,TA,Barefoot
4,0.000589208263889,0.024502550887612,2.223,0.018525,0,2.123,0.017691666666667,0.023477684738327,33,0,0,5.4566258843518,0.000578652431274,0.036455103170275,106.788431604033,112,48,2.16558609453763,01 Barefoot3 TA ka.txt,01 ONY,TA,Barefoot
5,0.000621291597222,0.024927060262561,2.381,0.019841666666667,0,2.222,0.018516666666667,0.023498614298498,33,0,0,4.74896715464469,0.000587770847801,0.037029563411455,98.6130916427323,112,48,2.30463995404376,01 Barefoot3 TA ka.txt,01 ONY,TA,Barefoot
6,0.000908392708333,0.030276365920192,2.953,0.024608333333333,0,2.514,0.02095,0.026288956687124,28,0,0,6.11959589088456,0.000875241288261,0.05514020116045,90.0353217061934,96,48,2.2603426043253,01 Barefoot3 TA ka.txt,01 ONY,TA,Barefoot
7,0.000482513263889,0.022552346515016,1.925,0.016041666666667,0,1.574,0.013116666666667,0.018652055105641,21,0,0,7.21865937695071,0.000505530223326,0.031848404069514,86.1015673787634,64,48,1.53366690253646,01 Barefoot3 TA ka.txt,01 ONY,TA,Barefoot
8,0.00193171,0.04425776767981,3.268,0.027233333333333,0,2.187,0.018225,0.030122578706,19,0,0.008333333333333,15.6990789325192,0.001882963099568,0.118626675272809,78.4137264193655,80,88,2.16929319954369,01 Barefoot3 TA ka.txt,01 ONY,TA,Barefoot
9,0.002824379930556,0.053448807283231,4.837,0.040308333333333,0,3.062,0.025516666666667,0.035870917037004,18,0,0.008333333333333,12.0895877334352,0.002742535826849,0.172779757091497,70.7363613336505,80,80,2.13461768402279,01 Barefoot3 TA ka.txt,01 ONY,TA,Barefoot
10,0.004649630833333,0.068203616717395,5.796,0.0483,0,3.213,0.026775,0.037289577699969,20,0,0.033333333333333,19.341674236591,0.004430357466971,0.279112520419161,60.3677400648777,56,24,1.91614947771639,01 Barefoot3 TA ka.txt,01 ONY,TA,Barefoot
11,0.005230222222222,0.072332565280101,6.434,0.053616666666667,0.235206929636467,3.765,0.031375,0.041326431609562,22,0,0.033333333333333,20.744273582134,0.004980338516713,0.313761326552913,64.6895918341266,56,56,2.03725549221348,01 Barefoot3 TA ka.txt,01 ONY,TA,Barefoot
12,0.002749023333333,0.052465544248901,4.672,0.038933333333333,0,3.181,0.026508333333333,0.036891050131867,23,0,0.008333333333333,21.5320435324177,0.002623410927812,0.16527488845215,84.7675857381323,72,72,2.10486215358821,01 Barefoot3 TA ka.txt,01 ONY,TA,Barefoot
13,0.000758869375,0.027885031827129,2.673,0.022275,0,2.272,0.018933333333333,0.024076209534439,28,0,0,7.0126158163112,0.000755480100217,0.047595246313678,92.1620049941813,88,88,2.16383481028369,01 Barefoot1 TA ka.txt,01 ONY,TA,Barefoot
14,0.000453088263889,0.021647748150789,1.987,0.016558333333333,0,1.731,0.014425,0.019224677768278,21,0,0,5.45710591336272,0.000459202070167,0.028929730420532,84.7303556453518,88,48,2.22772235007418,01 Barefoot1 TA ka.txt,01 ONY,TA,Barefoot
15,0.000498703055556,0.022458480209786,2.146,0.017883333333333,0,1.689,0.014075,0.020492876401161,18,0,0,5.0036283826117,0.000481917398418,0.030360796100336,92.9480014215796,104,56,2.08654751666857,01 Barefoot1 TA ka.txt,01 ONY,TA,Barefoot
16,0.002213738263889,0.047275522207587,4.095,0.034125,0,3.023,0.025191666666667,0.032873196662685,20,0,0.025,12.0944681409232,0.002143914089541,0.135066587641089,78.3906886871127,96,96,2.04196705244616,01 Barefoot1 TA ka.txt,01 ONY,TA,Barefoot
17,0.006147548888889,0.078501592340538,7.504,0.062533333333333,0,4.51,0.037583333333333,0.048740609955391,17,2,0.075,21.1676960408279,0.005880763129213,0.370488077140406,78.1310306140101,80,80,2.10694886946805,01 Barefoot1 TA ka.txt,01 ONY,TA,Barefoot
18,0.005412330833333,0.073597101392197,6.812,0.056766666666667,0,4.258,0.035483333333333,0.049834010188109,15,3,0.05,18.52993082133,0.005150011077522,0.324450697883858,81.9886904977575,72,48,2.02447130913185,01 Barefoot1 TA ka.txt,01 ONY,TA,Barefoot
19,0.001902460833333,0.043638094978279,3.926,0.032716666666667,0,2.64,0.022,0.034129757340691,12,1,0,12.742960488988,0.001806115795247,0.113785295100559,93.3619557344857,72,56,2.16517479580197,01 Barefoot1 TA ka.txt,01 ONY,TA,Barefoot
