,"VAR","RMS","IEMG","MAV","LOG","WL","ACC","DASDV","ZC","WAMP","MYOP","FR","MNP","TP","MNF","MDF","PKF","WENT","file","subject","otot","footwear"
10323,0.002495016388889,0.049972158915407,4.66,0.038833333333333,0,3.394,0.028283333333333,0.041060930335296,18,0,0,9.18783862364835,0.002375881305751,0.149680522262304,97.2811050257067,96,48,2.15518810883029,"01 ShoeA1 TA ka.txt","01 ONY","TA","ShoeA"
10324,0.001145939930556,0.034092154522705,2.947,0.024558333333333,0,1.825,0.015208333333333,0.022533075595629,15,0,0,9.71277926476327,0.001117951724562,0.070430958647429,76.462373699608,56,56,1.73872555464297,"01 ShoeA1 TA ka.txt","01 ONY","TA","ShoeA"
10325,0.003259316388889,0.057196590807495,4.494,0.03745,0,2.426,0.020216666666667,0.030093691234225,17,0,0,45.0007671118263,0.003126105695234,0.196944658799761,64.5134939665093,56,56,2.06411569162141,"01 ShoeA1 TA ka.txt","01 ONY","TA","ShoeA"
10326,0.004176042708333,0.064632099867893,5.865,0.048875,0,2.973,0.024775,0.034178350806696,16,0,0,22.5891413260511,0.003976180973944,0.250499401358472,69.0116030751721,64,56,1.41247875555826,"01 ShoeA1 TA ka.txt","01 ONY","TA","ShoeA"
10327,0.002905431597222,0.053974299439641,5.081,0.042341666666667,0,3.254,0.027116666666667,0.035850061237832,20,0,0,20.3666994389124,0.002777309926563,0.174970525373439,82.1783971743673,72,72,2.21061939724076,"01 ShoeA1 TA ka.txt","01 ONY","TA","ShoeA"
10328,0.002287866041667,0.048045204408626,4.347,0.036225,0,3.081,0.025675,0.033320067388232,19,0,0,18.4708309845584,0.002212504759761,0.139387799864914,82.693201156952,64,56,2.17605758159566,"01 ShoeA1 TA ka.txt","01 ONY","TA","ShoeA"
10329,0.003103124930556,0.056144827603856,5.121,0.042675,0,2.965,0.024708333333333,0.033062838058827,17,0,0,19.5732422939841,0.003044413330704,0.191798039834333,68.8499263074101,56,80,2.06172233780236,"01 ShoeA1 TA ka.txt","01 ONY","TA","ShoeA"
10330,0.013350427708333,0.115599344000446,10.665,0.088875,0,6.206,0.051716666666667,0.07292070056869,19,1,0.033333333333333,19.4808352202887,0.012726344124399,0.801759679837118,83.0710471928969,72,64,1.9740368232701,"01 ShoeA1 TA ka.txt","01 ONY","TA","ShoeA"
10331,0.014292306666667,0.119638901142842,10.792,0.089933333333333,0,8.217,0.068475,0.090459378505846,31,2,0.05,12.6551146449646,0.013627945226836,0.858560549290685,93.014166993479,88,72,2.14546131035575,"01 ShoeA1 TA ka.txt","01 ONY","TA","ShoeA"
10332,0.004996514930556,0.071316022042736,6.293,0.052441666666667,0,5.966,0.049716666666667,0.068062378704817,33,0,0.016666666666667,4.36797095242567,0.004916988957389,0.3097703043155,101.310569809207,120,176,2.23297382635349,"01 ShoeA1 TA ka.txt","01 ONY","TA","ShoeA"
10333,0.002617915555556,0.051294411651433,4.8,0.04,0,4.5,0.0375,0.050548919645339,31,0,0,4.37396099480581,0.002510973006127,0.158191299385969,105.87325189846,104,176,2.24243077451165,"01 ShoeA1 TA ka.txt","01 ONY","TA","ShoeA"
10334,0.002831258263889,0.053212858721679,4.897,0.040808333333333,0,4.686,0.03905,0.051821607381445,35,1,0,4.9561213286748,0.0026879192332,0.169338911691625,111.21173422747,144,32,2.19466375528626,"01 ShoeA1 TA ka.txt","01 ONY","TA","ShoeA"
10335,0.004179821597222,0.064752155691272,6.001,0.050008333333333,0,5.806,0.048383333333333,0.065922796709867,29,3,0,4.6189007638477,0.003989196367476,0.25131937115096,115.096241943583,144,64,2.13347981111978,"01 ShoeA1 TA ka.txt","01 ONY","TA","ShoeA"
10336,0.000639086041667,0.025365166403292,2.381,0.019841666666667,0,1.218,0.01015,0.013695978677436,17,0,0,7.8844708743803,0.000615850146478,0.038798559228113,46.6138601498852,32,8,0.64962778887202,"01 ShoeA2 TA ka.txt","01 ONY","TA","ShoeA"
10337,0.000289138263889,0.017436312683592,1.637,0.013641666666667,0,1.484,0.012366666666667,0.016700022643773,25,0,0,2.95121794068337,0.000300662919053,0.018941763900316,76.2171009143468,72,72,2.22290181303651,"01 ShoeA2 TA ka.txt","01 ONY","TA","ShoeA"
10338,0.000421595555556,0.02054588361043,1.916,0.015966666666667,0,1.733,0.014441666666667,0.019257433356909,23,0,0,4.37889916625722,0.000401117920565,0.025270428995578,98.0065372281062,104,80,2.22452766633267,"01 ShoeA2 TA ka.txt","01 ONY","TA","ShoeA"
10339,0.000686631597222,0.02623150141846,2.495,0.020791666666667,0,2.15,0.017916666666667,0.023268256589308,20,0,0,6.42464950283721,0.000655242738612,0.041280292532565,101.695997893639,104,16,2.05915880711788,"01 ShoeA2 TA ka.txt","01 ONY","TA","ShoeA"
10340,0.001021396597222,0.032171804425615,3.059,0.025491666666667,0,2.57,0.021416666666667,0.027531494570352,27,0,0,6.56600134407228,0.000996875276201,0.062803142400682,92.5762954429534,88,48,2.1997372958494,"01 ShoeA2 TA ka.txt","01 ONY","TA","ShoeA"
10341,0.001052538888889,0.032597034629958,3.016,0.025133333333333,0,2.255,0.018791666666667,0.025146795909973,25,0,0,7.89379821592026,0.001020804713873,0.064310696973985,79.4031325363856,56,56,1.74707049226043,"01 ShoeA2 TA ka.txt","01 ONY","TA","ShoeA"
10342,0.001469764166667,0.038668678108602,3.17,0.026416666666667,0,2.223,0.018525,0.026711814023075,18,0,0,19.2790189899193,0.001442806302239,0.090896797041073,86.5757072278124,88,72,2.06424396708322,"01 ShoeA2 TA ka.txt","01 ONY","TA","ShoeA"
