,"VAR","RMS","IEMG","MAV","LOG","WL","ACC","DASDV","ZC","WAMP","MYOP","FR","MNP","TP","MNF","MDF","PKF","WENT","file","subject","otot","footwear"
20777,0.001802519375,0.042456153853122,3.975,0.033125,0,3.641,0.030341666666667,0.038520866330564,31,0,0,7.37808893211003,0.001711904994217,0.107850014635697,113.213499770911,120,72,2.27445606286586,"01 ShoeB4 TA ka.txt","01 ONY","TA","ShoeB"
20778,0.000754286041667,0.027619588459401,2.695,0.022458333333333,0,2.209,0.018408333333333,0.024389865645765,24,0,0,6.37340225719771,0.000733935123188,0.046237912760826,100.535870327417,120,48,2.20597979283609,"01 ShoeB4 TA ka.txt","01 ONY","TA","ShoeB"
20779,0.001837856666667,0.042879676615696,3.742,0.031183333333333,0,1.992,0.0166,0.023749745686387,11,0,0,22.9524993833333,0.001751560016294,0.110348281026524,62.3415348880479,40,24,2.02455890819455,"01 ShoeB4 TA ka.txt","01 ONY","TA","ShoeB"
20780,0.003001736041667,0.054928514149453,5.107,0.042558333333333,0,2.666,0.022216666666667,0.02953732861165,13,0,0,44.4982119394318,0.002886875574676,0.181873161204559,65.0673292253814,48,24,1.98884236939836,"01 ShoeB4 TA ka.txt","01 ONY","TA","ShoeB"
20781,0.003416049930556,0.058979586864157,5.335,0.044458333333333,0,2.936,0.024466666666667,0.033005729067247,16,0,0,23.0645109792379,0.00336735969058,0.212143660506509,65.2988263183593,64,64,1.81878662792279,"01 ShoeB4 TA ka.txt","01 ONY","TA","ShoeB"
20782,0.004462498263889,0.066956142361997,5.917,0.049308333333333,0,3.591,0.029925,0.041434265039068,16,0,0,16.3871256132133,0.004286704114891,0.270062359238119,71.5032914092527,64,64,2.08361357172171,"01 ShoeB4 TA ka.txt","01 ONY","TA","ShoeB"
20783,0.002930503055556,0.05413763324466,4.704,0.0392,0,3.093,0.025775,0.037197519570327,18,0,0,11.1327521995572,0.002790912195969,0.175827468346022,77.5022647863795,80,64,2.18919707430168,"01 ShoeB4 TA ka.txt","01 ONY","TA","ShoeB"
20784,0.011070759375,0.106161551420465,8.231,0.068591666666667,0,4.331,0.036091666666667,0.059188702646776,24,1,0.05,20.6625516051139,0.010897006858951,0.686511432113888,85.5608549202722,80,80,1.8163350289263,"01 ShoeB4 TA ka.txt","01 ONY","TA","ShoeB"
20785,0.018059428888889,0.134391343967286,11.98,0.099833333333333,0,5.904,0.0492,0.070282383606265,20,1,0.066666666666667,54.6765527164542,0.017198006933668,1.0834744368211,67.1171871873174,64,72,2.03060589002995,"01 ShoeB4 TA ka.txt","01 ONY","TA","ShoeB"
20786,0.009064827708333,0.095581422532485,8.369,0.069741666666667,0,3.948,0.0329,0.045841891230583,15,0,0.016666666666667,11.3289591485307,0.008759708348958,0.551861625984335,55.5390412547185,40,8,0.756568791472081,"01 ShoeB4 TA ka.txt","01 ONY","TA","ShoeB"
20787,0.002320994375,0.048309160621977,4.447,0.037058333333333,0,2.651,0.022091666666667,0.030284505287427,24,0,0,6.74649384017951,0.002231200039164,0.140565602467341,51.009222699988,24,16,1.81788596308076,"01 ShoeB4 TA ka.txt","01 ONY","TA","ShoeB"
20788,0.000943063263889,0.030822745930022,2.917,0.024308333333333,0,2.832,0.0236,0.033261631566323,34,0,0,3.92764407868194,0.000908306800776,0.05722332844888,123.182751938244,120,112,2.17591816193367,"01 ShoeB4 TA ka.txt","01 ONY","TA","ShoeB"
20789,0.001239169722222,0.035387144558441,3.306,0.02755,0,3.299,0.027491666666667,0.036990459819352,30,0,0,4.41784291945419,0.001193894769474,0.075215370476865,118.330851355869,168,176,2.25316459901516,"01 ShoeB4 TA ka.txt","01 ONY","TA","ShoeB"
20790,0.001109808263889,0.033343540103994,3.037,0.025308333333333,0,2.859,0.023825,0.032040809062478,30,0,0,6.68050382095692,0.001052237632538,0.066290970849924,114.189735967137,128,24,2.27598159183316,"01 ShoeB4 TA ka.txt","01 ONY","TA","ShoeB"
20791,0.004726030833333,0.068747606018925,5.932,0.049433333333333,0,3.789,0.031575,0.041578012127048,25,0,0.008333333333333,13.8958248634356,0.00449793975491,0.28337020455935,69.5978217584358,64,96,2.09822042501994,"01 ShoeB1 TA ka.txt","01 ONY","TA","ShoeB"
20792,0.004276189930556,0.065463284875315,5.529,0.046075,0,4.117,0.034308333333333,0.045906097066721,30,0,0.008333333333333,10.5220134723443,0.004087906809657,0.257538129008416,78.2947113346994,96,96,2.22407773607331,"01 ShoeB1 TA ka.txt","01 ONY","TA","ShoeB"
20793,0.001954877708333,0.044236956646376,4.007,0.033391666666667,0,2.98,0.024833333333333,0.033828037697357,25,0,0,8.02359638278626,0.001863336359187,0.117390190628765,86.6077746798579,88,16,1.85454316598044,"01 ShoeB1 TA ka.txt","01 ONY","TA","ShoeB"
