,"VAR","RMS","IEMG","MAV","LOG","WL","ACC","DASDV","ZC","WAMP","MYOP","FR","MNP","TP","MNF","MDF","PKF","WENT","file","subject","otot","footwear"
31309,0.000815286388889,0.028698432012917,2.766,0.02305,0,2.48,0.020666666666667,0.027078162617805,31,0,0,6.17026172511121,0.000785472041872,0.049484738637937,104.756053850764,120,120,2.1345815721067,"01 ShoeC3 TA ka.txt","01 ONY","TA","ShoeC"
31310,0.001347271597222,0.036832390636504,3.483,0.029025,0,3.285,0.027375,0.036586147904465,27,0,0,5.07078701729578,0.00129565767492,0.081626433519949,113.491398193917,128,128,2.20367584921571,"01 ShoeC3 TA ka.txt","01 ONY","TA","ShoeC"
31311,0.001064216041667,0.032701554499239,2.867,0.023891666666667,0,2.557,0.021308333333333,0.031767405736492,19,0,0,5.06003960986229,0.00101938372142,0.064221174449484,109.982717757551,128,128,2.16458913934847,"01 ShoeC3 TA ka.txt","01 ONY","TA","ShoeC"
31312,0.001528054930556,0.039220424101056,3.027,0.025225,0,1.757,0.014641666666667,0.021181290301196,12,0,0,26.4701801357624,0.001472939910771,0.092795214378574,61.243333854162,56,56,1.91949570944647,"01 ShoeC3 TA ka.txt","01 ONY","TA","ShoeC"
31313,0.003598580833333,0.060594416684488,5.462,0.045516666666667,0,2.399,0.019991666666667,0.028760529675701,13,0,0,27.9554829588718,0.003560164716533,0.224290377141592,51.3895862676164,40,40,1.77736267153897,"01 ShoeC3 TA ka.txt","01 ONY","TA","ShoeC"
31314,0.004479246597222,0.067137359197395,6.327,0.052725,0,3.189,0.026575,0.036287947393734,19,0,0,25.0739594580022,0.004315610499717,0.271883461482145,59.7560926267193,40,16,2.00812167277729,"01 ShoeC3 TA ka.txt","01 ONY","TA","ShoeC"
31315,0.003736933055556,0.061333242753556,5.764,0.048033333333333,0,3.632,0.030266666666667,0.038939729339178,19,0,0,20.8965576334669,0.003603740826698,0.227035672081957,76.1827199397324,72,40,2.07595822386188,"01 ShoeC3 TA ka.txt","01 ONY","TA","ShoeC"
31316,0.003110124930556,0.055872548417507,5.571,0.046425,0,3.16,0.026333333333333,0.036330879057755,13,0,0,10.0697460677089,0.002980578641959,0.187776454443429,66.5929243472672,56,16,2.17795019885619,"01 ShoeC3 TA ka.txt","01 ONY","TA","ShoeC"
31317,0.003116743055556,0.056318291877506,5.302,0.044183333333333,0,3.383,0.028191666666667,0.0406322924935,22,0,0,9.92132394232189,0.003069489014595,0.193377807919468,75.4702956784367,64,16,2.23674935941931,"01 ShoeC3 TA ka.txt","01 ONY","TA","ShoeC"
31318,0.011778836388889,0.108561887112068,8.89,0.074083333333333,0,5.15,0.042916666666667,0.059856270425443,24,2,0.025,28.8300396923132,0.011227663825845,0.707342821028228,63.145031057137,48,16,1.93567266808637,"01 ShoeC3 TA ka.txt","01 ONY","TA","ShoeC"
31319,0.011605349930556,0.107729329030368,9.141,0.076175,0,4.44,0.037,0.053699287196183,13,2,0.025,25.7167514693688,0.011046068490595,0.695902314907449,56.545203578939,48,24,2.00059269818456,"01 ShoeC3 TA ka.txt","01 ONY","TA","ShoeC"
31320,0.001896515555556,0.043700305109538,4.172,0.034766666666667,0,2.419,0.020158333333333,0.026237602114254,21,0,0,11.5973479528985,0.001824514183453,0.114944393557513,59.362274752042,32,16,1.53246225771011,"01 ShoeC3 TA ka.txt","01 ONY","TA","ShoeC"
31321,0.000664812222222,0.025787593916455,2.416,0.020133333333333,0,2.012,0.016766666666667,0.02208920037279,27,0,0,4.79628051280086,0.000631089231653,0.039758621594167,89.134709073039,88,8,1.51399345123411,"01 ShoeC3 TA ka.txt","01 ONY","TA","ShoeC"
31322,0.000762233055556,0.027620644453017,2.618,0.021816666666667,0,2.61,0.02175,0.027466098278093,37,0,0,4.53149316964966,0.00072675800818,0.045785754515364,114.067663853424,128,56,2.07093800854826,"01 ShoeC2 TA ka.txt","01 ONY","TA","ShoeC"
31323,0.000922555555556,0.030490435658853,2.93,0.024416666666667,0,3.02,0.025166666666667,0.031586881651043,41,0,0,3.61897243906497,0.00088860994504,0.055982426537515,112.901043729609,144,152,2.28894704150513,"01 ShoeC2 TA ka.txt","01 ONY","TA","ShoeC"
31324,0.000922129930556,0.030454200586017,2.913,0.024275,0,2.983,0.024858333333333,0.031225797350397,41,0,0,5.12293802739455,0.000887264811175,0.055897683104007,124.824622653578,152,168,2.15691475234218,"01 ShoeC2 TA ka.txt","01 ONY","TA","ShoeC"
31325,0.000755363263889,0.027584869040835,2.527,0.021058333333333,0,2.286,0.01905,0.025819671999948,28,0,0,10.5086202468679,0.000728866911357,0.045918615415505,128.170331516352,144,128,2.12451829105879,"01 ShoeC2 TA ka.txt","01 ONY","TA","ShoeC"
31326,0.000621929930556,0.025873248733006,1.907,0.015891666666667,0,1.438,0.011983333333333,0.019398085325251,21,0,0,7.02620118908191,0.000677965860927,0.042711849238409,92.3476070055252,112,0,1.60821314541718,"01 ShoeC2 TA ka.txt","01 ONY","TA","ShoeC"
31327,0.001948828888889,0.044146347527287,3.352,0.027933333333333,0,2.145,0.017875,0.026748281967919,17,0,0,22.5389202970539,0.001856093127628,0.11693386704059,72.9186434173784,64,32,2.16688470956033,"01 ShoeC2 TA ka.txt","01 ONY","TA","ShoeC"
31328,0.002616066041667,0.051152631082542,4.703,0.039191666666667,0,3.008,0.025066666666667,0.033064744228927,17,0,0,12.1119698649987,0.002491188690641,0.156944887510364,74.7831480963364,72,64,1.96687742800843,"01 ShoeC2 TA ka.txt","01 ONY","TA","ShoeC"
