,VAR,RMS,IEMG,MAV,LOG,WL,ACC,DASDV,ZC,WAMP,MYOP,FR,MNP,TP,MNF,MDF,PKF,WENT,class
93,0.021299336388888885,0.14594502389598626,6.463000000000001,0.10771666666666668,0.319895802134508,4.551,0.07585,0.11970521702520258,13.0,3.0,0.05,4.58187547355572,0.020566013815560842,0.6375464282823861,195.0837132020055,218.75,187.5,2.0920573226509283,hard
94,0.024262595555555554,0.1557647799300813,7.0360000000000005,0.11726666666666667,0.3367627389870856,5.15,0.08583333333333334,0.12532615077387724,9.0,2.0,0.03333333333333333,4.6838107196488385,0.023453193837050162,0.7270490089485551,183.8619573263208,187.5,187.5,2.0380318854901707,hard
95,0.01134706972222222,0.10660605048495138,4.997,0.08328333333333333,0.0,3.8000000000000003,0.06333333333333334,0.08362831407635955,11.0,0.0,0.0,3.5490113459151207,0.010987251809600451,0.34060480609761395,158.4125867702474,156.25,62.5,2.1761632582878767,hard
96,0.016492012222222224,0.12920758491667583,6.014,0.10023333333333334,0.0,3.9219999999999997,0.06536666666666666,0.10551712849949842,11.0,1.0,0.05,2.8625741955582673,0.01630823275706741,0.5055552154690898,154.1351268780597,125.0,125.0,2.0534048846333146,hard
97,0.014157647500000002,0.11903885920152293,4.729,0.07881666666666667,0.2538908361802625,2.7259999999999995,0.045433333333333326,0.09579621732739392,8.0,1.0,0.05,3.2846158172040263,0.013690429861216305,0.42440332569770545,152.1727988227098,125.0,125.0,2.037704940918341,hard
98,0.0007990066666666666,0.02863855210492784,1.4120000000000001,0.023533333333333337,0.0,0.9530000000000002,0.015883333333333336,0.021152793620845965,11.0,0.0,0.0,3.521295919724457,0.0008120430629634788,0.02517333495186784,124.45160013035232,125.0,31.25,2.027000749571036,hard
99,0.0006996497222222223,0.026916228066602002,1.3129999999999997,0.021883333333333328,0.0,1.121,0.018683333333333333,0.02397774391784662,14.0,0.0,0.0,2.9705958370769703,0.0007123874410532464,0.022084010672650638,186.4402733957636,187.5,187.5,2.0736619058325934,hard
100,0.0005285097222222223,0.023134029768575412,1.0790000000000002,0.017983333333333337,0.0,0.9300000000000002,0.015500000000000003,0.020931688733122775,13.0,0.0,0.0,2.8299120750817943,0.0005113165777315416,0.01585081390967779,187.87535281205285,187.5,187.5,1.9224581734096602,hard
101,0.0003600788888888889,0.019057806799314556,0.918,0.015300000000000001,0.0,0.8810000000000001,0.014683333333333335,0.020385687900741557,18.0,0.0,0.0,1.279199584078639,0.00035319926351061703,0.010949177168829129,211.6959013281974,281.25,31.25,2.245482936034268,hard
102,0.0005262266666666668,0.023521621259315156,1.1959999999999997,0.019933333333333327,0.1663851820170625,1.2020000000000002,0.020033333333333337,0.02565415352765199,24.0,0.0,0.0,1.4286120229047576,0.0005497702746935792,0.017042878515500955,221.10596599924833,250.0,250.0,2.0208900360969237,hard
103,0.0007904275,0.028122055401410474,1.391,0.023183333333333334,0.0,1.157,0.019283333333333333,0.025533294980130804,17.0,0.0,0.0,3.432538808007189,0.0007521350228388127,0.023316185708003194,188.06241117887555,218.75,93.75,2.2184055953817197,hard
104,0.00045254000000000003,0.02172325942394465,0.9760000000000001,0.01626666666666667,0.0,0.5810000000000001,0.009683333333333334,0.014722863575555089,11.0,0.0,0.0,5.721117011733829,0.00047157590108432766,0.014618852933614158,124.75036084663697,125.0,93.75,0.7850785463839214,hard
105,9.143638888888888e-05,0.009727109882522489,0.463,0.007716666666666667,0.0,0.333,0.00555,0.007883688373653625,8.0,0.0,0.0,8.72959080019694,9.272576286278099e-05,0.002874498648746211,127.95009630955644,156.25,31.25,2.1936324070805853,hard
106,0.001084532222222222,0.033256578296631784,1.0699999999999998,0.01783333333333333,0.0,0.713,0.011883333333333333,0.021125532788387146,5.0,0.0,0.0,8.510742642325257,0.0010870014119805885,0.03369704377139825,160.3820145240907,156.25,125.0,1.7356458190130934,hard
107,0.0018247363888888892,0.04273932615285365,1.7529999999999997,0.02921666666666666,0.0,1.1800000000000002,0.01966666666666667,0.02967393423328555,11.0,0.0,0.0,3.424467059029173,0.0017664834928013576,0.05476098827684209,176.9548266575515,156.25,62.5,2.0561931802713076,hard
108,0.00552609,0.07439422020560468,3.194000000000001,0.05323333333333335,0.0,1.5579999999999998,0.025966666666666662,0.037585157546518415,8.0,0.0,0.0,12.550700498566552,0.005362308659551868,0.1662315684461079,129.4835503532966,93.75,93.75,1.8383080890485415,hard
109,0.005676878888888889,0.07583051276805838,3.278,0.05463333333333333,0.0,1.474,0.024566666666666667,0.036075720742885294,6.0,0.0,0.0,16.25158216829551,0.00563052162763244,0.17454617045660564,128.44758355632837,93.75,93.75,1.3770691358511329,hard
110,0.0015452541666666668,0.04075311849008204,1.803,0.03005,0.0,1.276,0.021266666666666666,0.029012563029820755,9.0,0.0,0.0,5.6426314346548185,0.001694461836877777,0.052528316943211084,169.65756842801247,218.75,218.75,1.966641892650742,hard
111,0.0016137830555555557,0.040340426373552375,1.9509999999999998,0.032516666666666666,0.0,1.3840000000000001,0.02306666666666667,0.029597297173897485,8.0,0.0,0.0,3.617282643952997,0.0015770813369468677,0.0488895214453529,185.3541202711904,187.5,156.25,1.9662791243033517,hard
112,0.003130145555555555,0.05600059523493181,2.812,0.04686666666666666,0.23911730320459315,2.0869999999999997,0.034783333333333326,0.049845014030781586,11.0,0.0,0.0,2.6378820648234416,0.002998592818330662,0.09295637736825052,173.0977608553315,156.25,156.25,2.277962918151163,hard
113,0.0023715608333333333,0.04878199804572721,2.183,0.03638333333333333,0.0,1.681,0.02801666666666667,0.0459529973571006,9.0,0.0,0.0,2.1548059364585725,0.0022691506312959684,0.07034366957017502,182.09636616663883,156.25,125.0,2.245640893642069,hard
114,0.0004309388888888889,0.021110029212043583,0.9920000000000001,0.016533333333333334,0.0,0.798,0.013300000000000001,0.018591049422882717,8.0,0.0,0.0,1.3764622092355219,0.0004407389050643339,0.013662906056994351,204.01995359162933,187.5,187.5,2.1848086655084837,hard
115,0.0011239875,0.03491489653428748,1.607,0.026783333333333333,0.0,1.2149999999999999,0.020249999999999997,0.028021480864338855,11.0,0.0,0.0,2.2164755482253877,0.0012655511242330136,0.03923208485122342,157.199903086235,125.0,125.0,2.0884186656791375,hard
