,VAR,RMS,IEMG,MAV,LOG,WL,ACC,DASDV,ZC,WAMP,MYOP,FR,MNP,TP,MNF,MDF,PKF,WENT,class
0,0.0004010788888888889,0.025162140873410066,1.134,0.018899999999999997,0.0,0.6980000000000001,0.011633333333333334,0.01518362186309169,7.0,0.0,0.0,4.3910920021386115,0.0008220341593731891,0.025483058940568865,71.3206172373487,0.0,0.0,1.8893676158855273,barefoot
1,0.0017613497222222223,0.04209928740489558,1.941,0.032350000000000004,0.0,0.8620000000000001,0.014366666666666668,0.020927639658951395,4.0,0.0,0.0,21.72555362392896,0.001724958828272136,0.05347372367643621,98.79668204163693,93.75,31.25,1.495554879270661,barefoot
2,0.0019101500000000002,0.04404997162314636,2.2079999999999993,0.036799999999999986,0.0,0.8920000000000001,0.014866666666666669,0.021380333114051256,2.0,0.0,0.0,12.85877116151301,0.0019048160176626226,0.0590492965475413,92.69000177299861,62.5,31.25,1.7840270148566635,barefoot
3,0.00047244,0.02607297451385246,1.3819999999999997,0.02303333333333333,0.0,0.544,0.009066666666666667,0.012504914288228136,1.0,0.0,0.0,4.848854883773954,0.0008454888315060774,0.026210153776688398,54.03637712124656,31.25,0.0,0.6036058818822021,barefoot
4,0.00018780555555555556,0.01810616837802337,0.84,0.014,0.0,0.33,0.0055000000000000005,0.007972410051791008,3.0,0.0,0.0,5.390022201213909,0.00044412180153363787,0.013767775847542773,40.9611716996526,0.0,0.0,0.40247308582606667,barefoot
5,7.349999999999998e-05,0.008803408430829506,0.45000000000000007,0.0075000000000000015,0.0,0.255,0.00425,0.0064110603581041285,6.0,0.0,0.0,11.434085381210796,7.792718800918358e-05,0.002415742828284691,130.36637518739323,125.0,93.75,2.2034266954199775,barefoot
6,8.725000000000003e-05,0.009354143466934854,0.4600000000000001,0.007666666666666668,0.0,0.265,0.004416666666666667,0.005930387131159629,4.0,0.0,0.0,7.570554338790247,8.445999923763025e-05,0.0026182599763665375,164.57882259904432,125.0,125.0,1.7337151035077567,barefoot
7,0.0001550763888888889,0.015316113519210197,0.7650000000000001,0.012750000000000003,0.0,0.271,0.004516666666666667,0.006228692492770174,1.0,0.0,0.0,14.383908486970471,0.0002990436269472254,0.009270352435363987,48.408754644383855,31.25,0.0,0.8561065954789604,barefoot
8,0.00012689,0.01789133868663829,0.974,0.016233333333333332,0.0,0.27,0.0045000000000000005,0.006351297745409787,1.0,0.0,0.0,11.673231771222635,0.0004847625269244493,0.015027638334657928,26.13763157134516,0.0,0.0,1.2511312517520106,barefoot
9,0.00019138305555555554,0.01445279673050629,0.767,0.012783333333333334,0.0,0.267,0.00445,0.005855607192530962,1.0,0.0,0.0,19.942908627402165,0.0002178886634571275,0.0067545485671709525,69.95024851934475,31.25,31.25,1.3765341659598982,barefoot
10,0.00010458222222222223,0.010289152864384251,0.518,0.008633333333333333,0.0,0.24300000000000002,0.004050000000000001,0.005299504294055423,1.0,0.0,0.0,26.682004626421776,0.00010265407586710039,0.003182276351880112,97.24268574722258,93.75,31.25,1.525623137214911,barefoot
11,4.818750000000001e-05,0.007158910531638176,0.35500000000000004,0.005916666666666667,0.0,0.20500000000000002,0.003416666666666667,0.00482753402326309,1.0,0.0,0.0,11.067051944915843,5.0852622460523724e-05,0.0015764312962762354,96.87964451512542,62.5,62.5,1.836032556440574,barefoot
12,0.0001413655555555556,0.013614942771332777,0.6680000000000001,0.011133333333333335,0.0,0.187,0.0031166666666666665,0.004401463547041166,1.0,0.0,0.0,41.252108909263114,0.00021878022253929552,0.0067821868987181615,32.616143762974005,31.25,31.25,0.7829855644609137,barefoot
13,0.00048480555555555565,0.031008063467427304,1.39,0.023166666666666665,0.0,0.38100000000000006,0.006350000000000001,0.008751755271885925,2.0,0.0,0.0,44.6537485147245,0.0013626740863431496,0.04224289667663764,34.277004317783394,0.0,0.0,1.3178678262550658,barefoot
14,0.0009361155555555556,0.03128577951721836,1.3820000000000001,0.023033333333333336,0.0,0.4630000000000001,0.007716666666666668,0.009696233761236493,2.0,0.0,0.0,148.8428953149636,0.000984139271753694,0.030508317424364512,64.07234650531102,31.25,31.25,1.135804922505608,barefoot
15,0.001237576388888889,0.035361231124872716,1.721,0.028683333333333335,0.0,0.365,0.006083333333333333,0.0074047625535581,2.0,0.0,0.0,52.76098030058282,0.0012177229599987546,0.037749411759961396,58.26838844849157,31.25,31.25,0.6107624115707266,barefoot
16,0.0014987475000000003,0.040854008371272454,2.0789999999999997,0.03464999999999999,0.0,0.32700000000000007,0.005450000000000001,0.007193452767055915,2.0,0.0,0.0,155.56262998886714,0.0017681795959836395,0.054813567475492826,39.90023609759485,31.25,31.25,0.6782506502865744,barefoot
17,0.0022412155555555555,0.047781098075843055,2.346,0.0391,0.0,0.368,0.0061333333333333335,0.008266739565926063,2.0,0.0,0.0,82.96878239915692,0.0022445656811963376,0.06958153611708646,53.980892937760565,62.5,62.5,0.7415640409391184,barefoot
18,0.0023324141666666667,0.048298205625744176,2.5090000000000003,0.041816666666666676,0.23302233373362258,0.363,0.00605,0.008199834640746922,2.0,0.0,0.0,236.62552839076838,0.0022576955245973375,0.06998856126251746,44.30176090927222,31.25,31.25,1.0145399904724495,barefoot
19,0.0005631400000000001,0.027252522818997878,1.3679999999999999,0.022799999999999997,0.0,0.256,0.004266666666666667,0.005914647144797196,2.0,0.0,0.0,86.76550407885021,0.0008808011380206243,0.027304835278639354,27.950476697770206,31.25,31.25,0.3604349491190111,barefoot
